SQLDATE,Actor1Name,Actor2Name,EventCode,EventBaseCode,EventRootCode,AvgTone,NumArticles,ActionGeo_FullName,text_input
2025-12-08,BENIN,AFRICA,86,86,8,4.76190476190476,10,Benin,BENIN 86 86 8 AFRICA Benin
2025-12-07,BENIN,ECOWAS,86,86,8,2.04081632653061,10,Benin,BENIN 86 86 8 ECOWAS Benin
2025-12-08,BENIN,NIGERIA,22,22,2,0.72463768115942,2,Benin,BENIN 22 22 2 NIGERIA Benin
2025-12-07,BENIN,NIGERIAN,22,22,2,0.5586592178771,2,Benin,BENIN 22 22 2 NIGERIAN Benin
2025-12-08,BENIN,GHANA,72,72,7,-1.33779264214047,10,Benin,BENIN 72 72 7 GHANA Benin
2025-12-08,BENIN,NIGERIA,22,22,2,2.0979020979021,2,Benin,BENIN 22 22 2 NIGERIA Benin
2025-12-08,BENIN,NIGERIAN,22,22,2,1.04166666666666,2,Benin,BENIN 22 22 2 NIGERIAN Benin
2025-12-08,BENIN,NIGERIAN,22,22,2,1.04166666666666,6,Benin,BENIN 22 22 2 NIGERIAN Benin
2025-12-08,BENIN,NIGERIA,22,22,2,0.18050541516245,2,Benin,BENIN 22 22 2 NIGERIA Benin
2025-12-08,BENIN,POPULATION,332,33,3,-0.418410041841,10,Benin,BENIN 332 33 3 POPULATION Benin
2025-12-08,BENIN,NIGERIAN,22,22,2,-0.418410041841,8,Benin,BENIN 22 22 2 NIGERIAN Benin
2025-12-08,BENIN,NIGERIAN,86,86,8,-4.58015267175573,10,Benin,BENIN 86 86 8 NIGERIAN Benin
2025-12-08,BENIN,NIGERIA,22,22,2,1.77777777777778,2,Benin,BENIN 22 22 2 NIGERIA Benin
2026-01-10,BENIN,BENIN CITY,1712,171,17,-3.81944444444444,1,Benin,BENIN 1712 171 17 BENIN CITY Benin
2026-03-25,BENIN,,122,122,12,5.46218487394958,10,Benin,BENIN 122 122 12 Benin
2025-02-08,BENIN,RULER,73,73,7,3.78378378378379,2,Benin,BENIN 73 73 7 RULER Benin
2025-11-09,BENIN,,11,11,1,-2.18446601941747,10,Benin,BENIN 11 11 1 Benin
2025-11-09,BENIN,BRITISH,1711,171,17,-3.4324942791762,2,Benin,BENIN 1711 171 17 BRITISH Benin
2025-11-10,BENIN,BRITISH,1711,171,17,-3.59542576560279,2,Benin,BENIN 1711 171 17 BRITISH Benin
2025-07-27,BENIN,,18,18,1,-0.660066006600659,4,Benin,BENIN 18 18 1 Benin
2025-02-09,BENIN,BENIN CITY,1712,171,17,-5.30973451327433,4,Benin,BENIN 1712 171 17 BENIN CITY Benin
2026-03-07,BENIN,,195,195,19,-5.14469453376206,10,"Karimama, Alibori, Benin","BENIN 195 195 19 Karimama, Alibori, Benin"
2026-03-07,BENIN,EMBASSY,161,161,16,3.59897172236504,4,Benin,BENIN 161 161 16 EMBASSY Benin
2025-05-19,BENIN,,62,62,6,0.75566750629723,3,"Abomey, Zou, Benin","BENIN 62 62 6 Abomey, Zou, Benin"
2025-05-19,BENIN,,1712,171,17,-1.8716577540107,3,Benin,BENIN 1712 171 17 Benin
2025-05-19,COTONOU,,114,114,11,-6.70731707317074,10,Benin,COTONOU 114 114 11 Benin
2025-05-19,BENIN,KINGDOM,27,27,2,2.8101439342015,2,Benin,BENIN 27 27 2 KINGDOM Benin
2025-05-18,BENIN,BRITISH,1711,171,17,1.03189493433396,5,Benin,BENIN 1711 171 17 BRITISH Benin
2025-12-20,BENIN,,213,21,2,-7.97101449275364,10,Benin,BENIN 213 21 2 Benin
2025-12-20,BENIN,AFRICA,137,137,13,-6.9444444444444,10,Benin,BENIN 137 137 13 AFRICA Benin
2026-03-04,BENIN,OPPOSITION PARTY,831,83,8,-0.571428571428569,10,Benin,BENIN 831 83 8 OPPOSITION PARTY Benin
2026-04-22,BENIN,PRESIDENT,831,83,8,-2.3391812865497,6,Benin,BENIN 831 83 8 PRESIDENT Benin
2026-04-22,BENIN,PRESIDENT,831,83,8,-2.3391812865497,4,Benin,BENIN 831 83 8 PRESIDENT Benin
2026-03-27,BENIN,BENIN,1821,182,18,-8.13953488372096,3,Benin,BENIN 1821 182 18 BENIN Benin
